@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute mono_feature25 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1013 numeric
@attribute bi_feature1223 numeric
@attribute bi_feature1510 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0.006989,0.010753,0,0,0.003765,0,0,0,0.789458,0.845617,0.983915,2
9,0,0.003268,0,0,0.009836,0,0,0,0.771339,0.823409,0.957562,2
9,0.026144,0.045752,0,0,0.006579,0,0,0,0.058584,0.066532,0.058681,2
9,0.008905,0.09528,0,0,0.000891,0,0,0,0.372623,0.396260,0.456019,2
9,0.001359,0.004076,0,0,0.00136,0,0,0,0.763005,0.816838,0.948785,2
9,0,0.1,0,0,0,0,0,0,0.489306,0.514506,0.593824,2
9,0.001966,0.010319,0,0,0.00295,0,0,0,0.774483,0.829578,0.964459,2
9,0.016473,0.010659,0,0,0.002908,0,0,0,0.679402,0.728283,0.845452,2
9,0,0.066667,0,0,0.008403,0,0,0,0.453534,0.476549,0.551024,2
9,0,0.041475,0,0,0.023148,0,0,0,0.545420,0.576086,0.669173,2
9,0.030176,0.06119,0,0,0.006711,0,0,0,0.364724,0.383002,0.437354,2
9,0.038647,0.043478,0,0,0.009709,0,0,0,0.499314,0.532925,0.615296,2
9,0,0.08,0,0,0,0,0,0,0.426378,0.450915,0.514670,2
9,0,0.049858,0,0,0.007133,0,0,0,0.597750,0.635880,0.735745,2
9,0,0.078652,0,0,0.017685,0,0,0,0.297596,0.304392,0.339407,2
9,0,0.005833,0,0,0.00417,0,0,0,0.817953,0.875719,1.018968,2
9,0,0.127119,0,0,0.008547,0,0,0,0.376065,0.393082,0.454953,2
9,0,0.13465,0,0,0.017986,0,0,0,0.310037,0.317544,0.357681,2
9,0.00309,0.004326,0,0,0.004329,0,0,0,0.764732,0.818942,0.952185,2
9,0.012163,0.004231,0,0,0.004233,0,0,0,0.713572,0.764635,0.888670,2
9,0,0.051178,0,0,0.006065,0,0,0,0.666907,0.710989,0.825421,2
9,0,0.030318,0,0,0.005382,0,0,0,0.739732,0.790237,0.918823,2
9,0,0.007746,0,0,0.002326,0,0,0,0.808253,0.865202,1.006506,2
9,0,0.128205,0,0,0.020183,0,0,0,0.283157,0.292523,0.327561,2
9,0.003831,0.066411,0,0,0.002558,0,0,0,0.536293,0.568684,0.658569,2
9,0.00252,0.006931,0,0,0.001261,0,0,0,0.793241,0.849670,0.988380,2
9,0,0.041237,0,0,0.013769,0,0,0,0.276645,0.291476,0.325884,2
9,0.021898,0.004866,0,0,0.002435,0,0,0,0.642506,0.687262,0.796647,0
9,0,0.026549,0,0,0.014184,0,0,0,0.298648,0.309122,0.344959,0
9,0.028571,0.078571,0,0,0.019678,0,0,0,0.192419,0.198112,0.211528,0
9,0,0.095794,0,0,0.007018,0,0,0,0.604209,0.643303,0.746075,0
9,0,0.007812,0,0,0.023622,0,0,0,0.418736,0.436523,0.500054,0
9,0,0.104396,0,0,0.00367,0,0,0,0.436773,0.460740,0.532072,0
9,0,0,0,0,0,0,0,0,0.472248,0.499706,0.576972,0
9,0,0.101289,0,0,0.01107,0,0,0,0.216771,0.220454,0.240062,0
9,0,0.18138,0,0,0.014469,0,0,0,0.267287,0.276343,0.309748,0
9,0,0.070175,0,0,0.035398,0,0,0,0.333679,0.347533,0.398130,0
9,0,0,0,0,0.030303,0,0,0,0.671005,0.710580,0.824788,0
9,0,0.013793,0,0,0.001381,0,0,0,0.754480,0.807625,0.937602,0
9,0.001431,0,0,0,0.001433,0,0,0,0.810326,0.868610,1.010765,0
9,0,0.010204,0,0,0.020619,0,0,0,0.142293,0.140551,0.149633,0
9,0,0,0,0,0.041958,0,0,0,0.471796,0.491167,0.566552,0
9,0.004167,0.120833,0,0,0,0,0,0,0.418769,0.441273,0.507965,0
9,0.002577,0.064433,0,0,0.002581,0,0,0,0.529006,0.563234,0.650197,0
9,0,0.033149,0,0,0.016667,0,0,0,0.609611,0.645813,0.749818,0
9,0,0.069421,0,0,0.006623,0,0,0,0.390313,0.409896,0.465657,0
9,0,0.048889,0,0,0.002967,0,0,0,0.584986,0.622047,0.720060,0
9,0,0.151803,0,0,0.013308,0,0,0,0.321273,0.333814,0.376131,0
9,0,0.171429,0,0,0.013554,0,0,0,0.284251,0.294555,0.329592,0
9,0,0.074074,0,0,0.009766,0,0,0,0.281892,0.290441,0.322358,0
9,0,0.068966,0,0,0.017391,0,0,0,0.338912,0.352874,0.400672,0
9,0,0,0,0,0.027523,0,0,0,0.239332,0.238475,0.267030,0
9,0.0217,0.084991,0,0,0.012681,0,0,0,0.138503,0.140736,0.146322,1
9,0,0.020833,0,0,0,0,0,0,0.526773,0.559565,0.645264,1
9,0.037893,0.012939,0,0,0.0037,0,0,0,0.590187,0.631581,0.732049,1
9,0,0.058901,0,0,0.003932,0,0,0,0.565349,0.601573,0.693345,1
9,0.000425,0.002124,0,0,0.003825,0,0,0,0.739781,0.791419,0.919215,1
9,0.040695,0.005487,0,0,0.001372,0,0,0,0.275283,0.298639,0.337944,1
9,0.003866,0.060567,0,0,0.009032,0,0,0,0.252887,0.264575,0.293437,1
9,0.00414,0.005914,0,0,0.001775,0,0,0,0.758225,0.812664,0.943286,1
9,0,0.070513,0,0,0.012903,0,0,0,0.536686,0.565661,0.656071,1
9,0.012012,0.005255,0,0.000751,0.001503,0,0,0,0.641987,0.687931,0.797277,1
9,0,0.011905,0,0,0.011928,0,0,0,0.205813,0.209909,0.226886,1
9,0,0,0,0,0.03125,0,0,0,0.543590,0.573085,0.661247,1
9,0,0.092883,0,0,0.001208,0,0,0,0.428260,0.453647,0.523005,1
9,0,0.003241,0,0,0,0,0,0,0.854160,0.915975,1.066118,1
9,0.02607,0.002674,0,0,0.002676,0,0,0,0.757207,0.811633,0.944003,1
9,0.08982,0.02994,0.006024,0,0,0,0,0,0.208653,0.220080,0.244201,1
9,0.005222,0.049608,0,0,0.005229,0,0,0,0.571166,0.607813,0.703240,1
9,0.040706,0.02578,0.001359,0,0.006793,0,0,0,0.266774,0.283108,0.319124,1
9,0.004702,0.018809,0,0,0.012559,0,0.00157,0.00157,0.253827,0.267631,0.292516,1
9,0,0.149912,0,0,0.022968,0,0,0,0.278791,0.286226,0.320972,1
9,0,0.005641,0,0,0.003226,0,0,0,0.793173,0.849013,0.987194,1
9,0,0.084871,0,0,0.014787,0,0,0,0.271981,0.279786,0.308082,1
9,0,0.004594,0,0,0.006897,0,0,0.000766,0.771846,0.825416,0.959575,1
9,0.013356,0.004174,0,0,0.004177,0,0,0.000835,0.702272,0.751570,0.872532,1
9,0,0.022472,0,0,0.028249,0,0,0,0.620962,0.658307,0.761372,1
9,0,0.072602,0,0,0.002595,0,0,0,0.567425,0.602814,0.697924,1
9,0,0.070922,0,0,0.007143,0,0,0,0.421802,0.447060,0.509489,1
9,0,0.004942,0,0,0.000824,0,0,0,0.738042,0.790400,0.915680,1
9,0,0.21875,0,0,0,0,0,0,0.472775,0.502895,0.579573,1
9,0.007042,0.001761,0,0,0.002643,0,0,0,0.644356,0.690251,0.801737,1
