@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute mono_feature25 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1013 numeric
@attribute bi_feature1223 numeric
@attribute bi_feature1510 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0.006989,0.010753,0,0,0.003765,0,0,0,0.789458,0.845617,0.983915,2
9,0,0.003268,0,0,0.009836,0,0,0,0.771339,0.823409,0.957562,2
9,0.026144,0.045752,0,0,0.006579,0,0,0,0.058584,0.066532,0.058681,2
9,0.008905,0.09528,0,0,0.000891,0,0,0,0.372623,0.396260,0.456019,2
9,0.001359,0.004076,0,0,0.00136,0,0,0,0.763005,0.816838,0.948785,2
9,0,0.1,0,0,0,0,0,0,0.489306,0.514506,0.593824,2
9,0.001966,0.010319,0,0,0.00295,0,0,0,0.774483,0.829578,0.964459,2
9,0.016473,0.010659,0,0,0.002908,0,0,0,0.679402,0.728283,0.845452,2
9,0,0.066667,0,0,0.008403,0,0,0,0.453534,0.476549,0.551024,2
9,0,0.041475,0,0,0.023148,0,0,0,0.545420,0.576086,0.669173,2
9,0.030176,0.06119,0,0,0.006711,0,0,0,0.364724,0.383002,0.437354,2
9,0.038647,0.043478,0,0,0.009709,0,0,0,0.499314,0.532925,0.615296,2
9,0,0.08,0,0,0,0,0,0,0.426378,0.450915,0.514670,2
9,0,0.049858,0,0,0.007133,0,0,0,0.597750,0.635880,0.735745,2
9,0,0.078652,0,0,0.017685,0,0,0,0.297596,0.304392,0.339407,2
9,0,0.005833,0,0,0.00417,0,0,0,0.817953,0.875719,1.018968,2
9,0,0.127119,0,0,0.008547,0,0,0,0.376065,0.393082,0.454953,2
9,0,0.13465,0,0,0.017986,0,0,0,0.310037,0.317544,0.357681,2
9,0.00309,0.004326,0,0,0.004329,0,0,0,0.764732,0.818942,0.952185,2
9,0.012163,0.004231,0,0,0.004233,0,0,0,0.713572,0.764635,0.888670,2
9,0,0.051178,0,0,0.006065,0,0,0,0.666907,0.710989,0.825421,2
9,0,0.030318,0,0,0.005382,0,0,0,0.739732,0.790237,0.918823,2
9,0,0.007746,0,0,0.002326,0,0,0,0.808253,0.865202,1.006506,2
9,0,0.128205,0,0,0.020183,0,0,0,0.283157,0.292523,0.327561,2
9,0.003831,0.066411,0,0,0.002558,0,0,0,0.536293,0.568684,0.658569,2
9,0.00252,0.006931,0,0,0.001261,0,0,0,0.793241,0.849670,0.988380,2
9,0,0.041237,0,0,0.013769,0,0,0,0.276645,0.291476,0.325884,2
9,0,0.04491,0,0,0.008991,0,0,0,0.546516,0.580709,0.669310,0
9,0.015512,0.002068,0,0,0,0,0,0,0.700351,0.751447,0.871927,0
9,0,0.007053,0,0,0,0,0,0,0.830621,0.890499,1.035801,0
9,0,0.00625,0,0,0.018868,0,0,0,0.590918,0.623201,0.720137,0
9,0.002028,0.034483,0,0,0.020325,0,0,0,0.241079,0.244279,0.268890,0
9,0,0,0,0,0.023256,0,0,0,0.584695,0.615969,0.714923,0
9,0,0.093439,0,0,0.007968,0,0,0,0.301803,0.312707,0.350532,0
9,0.021127,0.070423,0,0,0.010582,0,0,0,0.193114,0.199805,0.214187,0
9,0,0.007276,0,0,0.001618,0,0,0,0.770694,0.825755,0.958214,0
9,0,0.011299,0,0,0,0,0,0,0.598818,0.634576,0.734674,0
9,0.003448,0,0,0,0.001151,0,0,0,0.762150,0.816885,0.949071,0
9,0.056202,0,0,0,0,0,0,0,0.020256,0.026190,0.017526,0
9,0,0.077176,0,0,0.021382,0,0,0,0.258081,0.262918,0.291226,0
9,0,0.007009,0,0,0.003509,0,0,0,0.807758,0.865019,1.005927,0
9,0,0,0,0,0.037037,0,0,0,0.603280,0.637758,0.739037,0
9,0,0.155738,0,0,0.004926,0,0,0,0.326493,0.340368,0.383764,0
9,0.009174,0,0,0,0,0,0,0,0.040995,0.053621,0.040574,0
9,0.028571,0.078571,0,0,0.019678,0,0,0,0.192419,0.198112,0.211528,0
9,0,0.060345,0,0,0.010799,0,0,0,0.232198,0.233863,0.255892,0
9,0.012968,0.100865,0,0,0.012987,0,0,0,0.222313,0.232086,0.255529,0
9,0,0.027778,0,0,0.007952,0,0,0,0.546981,0.581413,0.669536,0
9,0.074713,0,0,0,0.046243,0,0,0,0.387139,0.401021,0.459451,0
9,0.00313,0.018779,0,0,0.009404,0,0,0,0.536853,0.570129,0.656802,0
9,0.013722,0.036021,0,0,0.024055,0,0,0,0.232807,0.233980,0.255415,0
9,0,0.069421,0,0,0.006623,0,0,0,0.390313,0.409896,0.465657,0
9,0,0.149912,0,0,0.022968,0,0,0,0.278791,0.286226,0.320972,1
9,0,0.011059,0,0,0.003494,0.000582,0,0.000582,0.738401,0.789988,0.917163,1
9,0,0.043796,0,0,0.014706,0,0,0,0.468030,0.493415,0.565571,1
9,0.007042,0.001761,0,0,0.002643,0,0,0,0.644356,0.690251,0.801737,1
9,0,0.027027,0,0,0.018182,0,0,0,0.419922,0.437186,0.502237,1
9,0.0217,0.084991,0,0,0.012681,0,0,0,0.138503,0.140736,0.146322,1
9,0,0,0,0,0.03125,0,0,0,0.543590,0.573085,0.661247,1
9,0,0.105882,0,0,0.02381,0,0,0,0.234504,0.234997,0.264395,1
9,0,0.111675,0,0,0.010204,0,0,0,0.410335,0.429131,0.493710,1
9,0,0.011905,0,0,0.011928,0,0,0,0.205813,0.209909,0.226886,1
9,0.029375,0.0075,0.000625,0,0.001251,0,0,0,0.616351,0.661044,0.766123,1
9,0.005222,0.049608,0,0,0.005229,0,0,0,0.571166,0.607813,0.703240,1
9,0,0.072602,0,0,0.002595,0,0,0,0.567425,0.602814,0.697924,1
9,0,0.09403,0,0,0.00299,0,0,0,0.512043,0.544286,0.628217,1
9,0.040695,0.005487,0,0,0.001372,0,0,0,0.275283,0.298639,0.337944,1
9,0,0.009206,0,0,0.004608,0,0,0,0.801580,0.857828,0.998044,1
9,0.035928,0.005988,0,0,0.006024,0,0,0,0.326383,0.345969,0.393290,1
9,0,0.058901,0,0,0.003932,0,0,0,0.565349,0.601573,0.693345,1
9,0,0.004594,0,0,0.006897,0,0,0.000766,0.771846,0.825416,0.959575,1
9,0,0.070513,0,0,0.012903,0,0,0,0.536686,0.565661,0.656071,1
9,0.00534,0.010236,0,0,0.003562,0,0,0,0.795319,0.851928,0.990842,1
9,0,0.024,0,0,0.008065,0,0,0,0.301887,0.322660,0.362976,1
9,0.02607,0.002674,0,0,0.002676,0,0,0,0.757207,0.811633,0.944003,1
9,0.08982,0.02994,0.006024,0,0,0,0,0,0.208653,0.220080,0.244201,1
9,0,0.057627,0,0,0.013582,0,0,0,0.308512,0.315965,0.354063,1
9,0.003866,0.060567,0,0,0.009032,0,0,0,0.252887,0.264575,0.293437,1
9,0,0.003241,0,0,0,0,0,0,0.854160,0.915975,1.066118,1
9,0,0.020833,0,0,0,0,0,0,0.526773,0.559565,0.645264,1
9,0.013158,0.003947,0,0.001317,0.003292,0,0,0.000658,0.637258,0.682792,0.792148,1
9,0,0.084871,0,0,0.014787,0,0,0,0.271981,0.279786,0.308082,1
